infection_chance,infection_duration,initial_infections,neighbor_threshold,replication,run_id,peak_infected,time_to_peak,final_recovered,attack_rate,epidemic_duration
0.1,10,1,3,0,1,4,6,13,0.13,66
0.1,10,1,3,1,2,3,3,3,0.03,13
0.1,10,1,3,2,3,5,17,6,0.06,27
0.1,10,1,3,3,4,5,5,5,0.05,15
0.1,10,1,3,4,5,5,10,6,0.06,21
0.1,10,1,6,0,6,69,17,97,0.97,33
0.1,10,1,6,1,7,41,38,87,0.87,55
0.1,10,1,6,2,8,61,23,99,0.99,44
0.1,10,1,6,3,9,64,20,97,0.97,40
0.1,10,1,6,4,10,48,23,98,0.98,50
0.1,10,1,9,0,11,60,14,97,0.97,46
0.1,10,1,9,1,12,68,17,100,1.0,35
0.1,10,1,9,2,13,90,17,100,1.0,30
0.1,10,1,9,3,14,77,13,100,1.0,29
0.1,10,1,9,4,15,56,21,100,1.0,44
0.1,10,3,3,0,16,18,12,37,0.37,39
0.1,10,3,3,1,17,11,10,23,0.23,37
0.1,10,3,3,2,18,10,17,26,0.26,42
0.1,10,3,3,3,19,15,10,37,0.37,84
0.1,10,3,3,4,20,16,14,30,0.3,46
0.1,10,3,6,0,21,57,14,99,0.99,33
0.1,10,3,6,1,22,42,13,99,0.99,43
0.1,10,3,6,2,23,64,11,100,1.0,44
0.1,10,3,6,3,24,65,19,99,0.99,36
0.1,10,3,6,4,25,62,11,95,0.95,54
0.1,10,3,9,0,26,89,10,100,1.0,27
0.1,10,3,9,1,27,93,10,99,0.99,25
0.1,10,3,9,2,28,79,13,100,1.0,30
0.1,10,3,9,3,29,89,11,99,0.99,26
0.1,10,3,9,4,30,65,12,100,1.0,37
0.1,10,5,3,0,31,25,10,32,0.32,42
0.1,10,5,3,1,32,26,9,32,0.32,38
0.1,10,5,3,2,33,24,9,32,0.32,29
0.1,10,5,3,3,34,18,10,55,0.55,70
0.1,10,5,3,4,35,28,10,49,0.49,54
0.1,10,5,6,0,36,77,13,98,0.98,35
0.1,10,5,6,1,37,50,10,93,0.93,58
0.1,10,5,6,2,38,57,10,100,1.0,43
0.1,10,5,6,3,39,63,15,99,0.99,36
0.1,10,5,6,4,40,75,12,100,1.0,38
0.1,10,5,9,0,41,82,10,100,1.0,36
0.1,10,5,9,1,42,90,10,100,1.0,27
0.1,10,5,9,2,43,95,10,100,1.0,23
0.1,10,5,9,3,44,99,10,100,1.0,21
0.1,10,5,9,4,45,89,11,100,1.0,24
0.1,10,8,3,0,46,37,10,74,0.74,59
0.1,10,8,3,1,47,43,14,72,0.72,34
0.1,10,8,3,2,48,20,9,34,0.34,36
0.1,10,8,3,3,49,37,10,57,0.57,52
0.1,10,8,3,4,50,32,10,45,0.45,41
0.1,10,8,6,0,51,80,10,95,0.95,35
0.1,10,8,6,1,52,73,12,98,0.98,30
0.1,10,8,6,2,53,80,10,99,0.99,27
0.1,10,8,6,3,54,78,10,100,1.0,35
0.1,10,8,6,4,55,77,10,100,1.0,35
0.1,10,8,9,0,56,89,10,99,0.99,25
0.1,10,8,9,1,57,87,10,100,1.0,28
0.1,10,8,9,2,58,92,10,100,1.0,22
0.1,10,8,9,3,59,91,10,100,1.0,26
0.1,10,8,9,4,60,92,10,99,0.99,26
0.1,15,1,3,0,61,20,120,65,0.65,147
0.1,15,1,3,1,62,16,99,64,0.64,150
0.1,15,1,3,2,63,17,17,48,0.48,103
0.1,15,1,3,3,64,5,9,6,0.06,32
0.1,15,1,3,4,65,27,51,93,0.93,126
0.1,15,1,6,0,66,60,30,100,1.0,51
0.1,15,1,6,1,67,56,33,100,1.0,71
0.1,15,1,6,2,68,68,30,99,0.99,93
0.1,15,1,6,3,69,74,22,100,1.0,55
0.1,15,1,6,4,70,73,31,100,1.0,53
0.1,15,1,9,0,71,92,16,100,1.0,36
0.1,15,1,9,1,72,77,24,100,1.0,48
0.1,15,1,9,2,73,90,17,100,1.0,39
0.1,15,1,9,3,74,85,21,100,1.0,44
0.1,15,1,9,4,75,94,21,100,1.0,40
0.1,15,3,3,0,76,19,15,23,0.23,53
0.1,15,3,3,1,77,36,14,79,0.79,80
0.1,15,3,3,2,78,17,11,23,0.23,47
0.1,15,3,3,3,79,22,34,62,0.62,97
0.1,15,3,3,4,80,19,19,48,0.48,90
0.1,15,3,6,0,81,71,22,100,1.0,50
0.1,15,3,6,1,82,79,18,100,1.0,43
0.1,15,3,6,2,83,61,22,100,1.0,43
0.1,15,3,6,3,84,71,19,98,0.98,48
0.1,15,3,6,4,85,80,19,100,1.0,43
0.1,15,3,9,0,86,97,15,100,1.0,33
0.1,15,3,9,1,87,97,15,100,1.0,32
0.1,15,3,9,2,88,78,18,100,1.0,38
0.1,15,3,9,3,89,94,15,100,1.0,34
0.1,15,3,9,4,90,100,14,100,1.0,29
0.1,15,5,3,0,91,38,32,92,0.92,79
0.1,15,5,3,1,92,36,15,90,0.9,81
0.1,15,5,3,2,93,45,14,81,0.81,76
0.1,15,5,3,3,94,24,15,53,0.53,80
0.1,15,5,3,4,95,32,15,52,0.52,65
0.1,15,5,6,0,96,84,15,98,0.98,40
0.1,15,5,6,1,97,81,15,96,0.96,39
0.1,15,5,6,2,98,94,15,99,0.99,37
0.1,15,5,6,3,99,75,22,100,1.0,49
0.1,15,5,6,4,100,82,18,100,1.0,47
0.1,15,5,9,0,101,98,15,100,1.0,32
0.1,15,5,9,1,102,99,15,100,1.0,32
0.1,15,5,9,2,103,92,15,96,0.96,44
0.1,15,5,9,3,104,100,15,100,1.0,30
0.1,15,5,9,4,105,94,15,100,1.0,36
0.1,15,8,3,0,106,44,15,79,0.79,70
0.1,15,8,3,1,107,45,15,75,0.75,66
0.1,15,8,3,2,108,40,15,68,0.68,61
0.1,15,8,3,3,109,45,15,93,0.93,128
0.1,15,8,3,4,110,55,15,78,0.78,57
0.1,15,8,6,0,111,85,15,100,1.0,48
0.1,15,8,6,1,112,97,15,99,0.99,31
0.1,15,8,6,2,113,86,15,100,1.0,50
0.1,15,8,6,3,114,79,15,100,1.0,38
0.1,15,8,6,4,115,93,15,99,0.99,48
0.1,15,8,9,0,116,100,13,100,1.0,28
0.1,15,8,9,1,117,98,13,100,1.0,34
0.1,15,8,9,2,118,98,15,100,1.0,34
0.1,15,8,9,3,119,99,14,100,1.0,32
0.1,15,8,9,4,120,100,11,100,1.0,26
0.1,20,1,3,0,121,7,18,7,0.07,38
0.1,20,1,3,1,122,34,47,91,0.91,150
0.1,20,1,3,2,123,18,34,53,0.53,150
0.1,20,1,3,3,124,34,72,88,0.88,144
0.1,20,1,3,4,125,21,75,59,0.59,138
0.1,20,1,6,0,126,79,34,100,1.0,56
0.1,20,1,6,1,127,59,41,99,0.99,76
0.1,20,1,6,2,128,73,26,100,1.0,66
0.1,20,1,6,3,129,82,34,100,1.0,57
0.1,20,1,6,4,130,68,38,98,0.98,73
0.1,20,1,9,0,131,95,20,100,1.0,45
0.1,20,1,9,1,132,99,19,100,1.0,44
0.1,20,1,9,2,133,99,21,100,1.0,41
0.1,20,1,9,3,134,92,23,100,1.0,48
0.1,20,1,9,4,135,90,23,100,1.0,53
0.1,20,3,3,0,136,26,58,94,0.94,150
0.1,20,3,3,1,137,15,17,50,0.5,150
0.1,20,3,3,2,138,43,39,84,0.84,85
0.1,20,3,3,3,139,47,27,98,0.98,108
0.1,20,3,3,4,140,39,28,86,0.86,110
0.1,20,3,6,0,141,91,22,100,1.0,56
0.1,20,3,6,1,142,95,20,100,1.0,58
0.1,20,3,6,2,143,86,22,100,1.0,72
0.1,20,3,6,3,144,84,23,100,1.0,48
0.1,20,3,6,4,145,76,26,100,1.0,55
0.1,20,3,9,0,146,100,15,100,1.0,35
0.1,20,3,9,1,147,95,20,100,1.0,47
0.1,20,3,9,2,148,97,20,100,1.0,45
0.1,20,3,9,3,149,99,20,100,1.0,42
0.1,20,3,9,4,150,99,15,100,1.0,43
0.1,20,5,3,0,151,49,26,77,0.77,123
0.1,20,5,3,1,152,37,20,91,0.91,100
0.1,20,5,3,2,153,32,19,46,0.46,53
0.1,20,5,3,3,154,44,31,75,0.75,95
0.1,20,5,3,4,155,56,20,86,0.86,83
0.1,20,5,6,0,156,89,20,100,1.0,60
0.1,20,5,6,1,157,80,20,98,0.98,74
0.1,20,5,6,2,158,96,20,100,1.0,42
0.1,20,5,6,3,159,90,20,100,1.0,48
0.1,20,5,6,4,160,95,20,100,1.0,44
0.1,20,5,9,0,161,96,17,100,1.0,52
0.1,20,5,9,1,162,100,13,100,1.0,33
0.1,20,5,9,2,163,100,13,100,1.0,33
0.1,20,5,9,3,164,98,19,100,1.0,42
0.1,20,5,9,4,165,100,20,100,1.0,40
0.1,20,8,3,0,166,63,20,93,0.93,68
0.1,20,8,3,1,167,54,20,80,0.8,93
0.1,20,8,3,2,168,58,19,86,0.86,70
0.1,20,8,3,3,169,52,20,88,0.88,78
0.1,20,8,3,4,170,53,20,90,0.9,74
0.1,20,8,6,0,171,96,19,100,1.0,50
0.1,20,8,6,1,172,95,20,100,1.0,52
0.1,20,8,6,2,173,90,20,98,0.98,47
0.1,20,8,6,3,174,99,20,100,1.0,42
0.1,20,8,6,4,175,97,20,100,1.0,51
0.1,20,8,9,0,176,100,15,100,1.0,35
0.1,20,8,9,1,177,100,13,100,1.0,33
0.1,20,8,9,2,178,99,19,100,1.0,41
0.1,20,8,9,3,179,100,18,100,1.0,38
0.1,20,8,9,4,180,100,14,100,1.0,34
0.1,25,1,3,0,181,31,77,95,0.95,150
0.1,25,1,3,1,182,36,88,99,0.99,146
0.1,25,1,3,2,183,49,36,98,0.98,124
0.1,25,1,3,3,184,49,48,87,0.87,150
0.1,25,1,3,4,185,25,32,73,0.73,150
0.1,25,1,6,0,186,88,30,100,1.0,60
0.1,25,1,6,1,187,94,32,100,1.0,63
0.1,25,1,6,2,188,48,61,100,1.0,103
0.1,25,1,6,3,189,86,27,100,1.0,61
0.1,25,1,6,4,190,92,27,100,1.0,69
0.1,25,1,9,0,191,100,24,100,1.0,49
0.1,25,1,9,1,192,100,21,100,1.0,46
0.1,25,1,9,2,193,100,21,100,1.0,46
0.1,25,1,9,3,194,100,18,100,1.0,43
0.1,25,1,9,4,195,100,21,100,1.0,46
0.1,25,3,3,0,196,71,43,98,0.98,82
0.1,25,3,3,1,197,39,33,75,0.75,114
0.1,25,3,3,2,198,57,55,100,1.0,111
0.1,25,3,3,3,199,50,33,100,1.0,103
0.1,25,3,3,4,200,52,32,97,0.97,110
0.1,25,3,6,0,201,91,25,100,1.0,59
0.1,25,3,6,1,202,91,25,100,1.0,73
0.1,25,3,6,2,203,99,25,100,1.0,51
0.1,25,3,6,3,204,94,25,100,1.0,71
0.1,25,3,6,4,205,71,25,100,1.0,73
0.1,25,3,9,0,206,100,18,100,1.0,43
0.1,25,3,9,1,207,100,19,100,1.0,44
0.1,25,3,9,2,208,100,18,100,1.0,43
0.1,25,3,9,3,209,100,20,100,1.0,45
0.1,25,3,9,4,210,100,24,100,1.0,49
0.1,25,5,3,0,211,35,36,86,0.86,118
0.1,25,5,3,1,212,34,25,34,0.34,50
0.1,25,5,3,2,213,60,25,81,0.81,78
0.1,25,5,3,3,214,73,25,99,0.99,93
0.1,25,5,3,4,215,44,31,62,0.62,79
0.1,25,5,6,0,216,99,25,100,1.0,51
0.1,25,5,6,1,217,98,23,100,1.0,68
0.1,25,5,6,2,218,90,24,100,1.0,81
0.1,25,5,6,3,219,93,25,100,1.0,55
0.1,25,5,6,4,220,95,24,97,0.97,54
0.1,25,5,9,0,221,100,20,100,1.0,45
0.1,25,5,9,1,222,100,19,100,1.0,44
0.1,25,5,9,2,223,100,16,100,1.0,41
0.1,25,5,9,3,224,100,20,100,1.0,45
0.1,25,5,9,4,225,100,12,100,1.0,37
0.1,25,8,3,0,226,48,25,95,0.95,123
0.1,25,8,3,1,227,78,25,100,1.0,97
0.1,25,8,3,2,228,70,25,98,0.98,84
0.1,25,8,3,3,229,52,25,91,0.91,112
0.1,25,8,3,4,230,61,25,88,0.88,101
0.1,25,8,6,0,231,100,23,100,1.0,48
0.1,25,8,6,1,232,100,20,100,1.0,45
0.1,25,8,6,2,233,98,23,98,0.98,48
0.1,25,8,6,3,234,100,22,100,1.0,47
0.1,25,8,6,4,235,95,25,100,1.0,55
0.1,25,8,9,0,236,100,14,100,1.0,39
0.1,25,8,9,1,237,100,23,100,1.0,48
0.1,25,8,9,2,238,100,11,100,1.0,36
0.1,25,8,9,3,239,100,17,100,1.0,42
0.1,25,8,9,4,240,100,13,100,1.0,38
0.2,10,1,3,0,241,15,10,15,0.15,20
0.2,10,1,3,1,242,46,28,97,0.97,50
0.2,10,1,3,2,243,30,28,90,0.9,73
0.2,10,1,3,3,244,14,32,41,0.41,57
0.2,10,1,3,4,245,16,13,34,0.34,41
0.2,10,1,6,0,246,79,14,100,1.0,39
0.2,10,1,6,1,247,54,23,100,1.0,37
0.2,10,1,6,2,248,80,14,100,1.0,32
0.2,10,1,6,3,249,65,16,100,1.0,35
0.2,10,1,6,4,250,67,16,99,0.99,36
0.2,10,1,9,0,251,88,12,100,1.0,26
0.2,10,1,9,1,252,93,12,100,1.0,24
0.2,10,1,9,2,253,93,12,100,1.0,23
0.2,10,1,9,3,254,75,15,100,1.0,34
0.2,10,1,9,4,255,87,14,100,1.0,28
0.2,10,3,3,0,256,33,17,64,0.64,43
0.2,10,3,3,1,257,28,10,63,0.63,48
0.2,10,3,3,2,258,16,104,82,0.82,118
0.2,10,3,3,3,259,27,29,89,0.89,62
0.2,10,3,3,4,260,18,15,30,0.3,33
0.2,10,3,6,0,261,89,12,100,1.0,27
0.2,10,3,6,1,262,70,11,99,0.99,29
0.2,10,3,6,2,263,91,12,100,1.0,25
0.2,10,3,6,3,264,76,10,100,1.0,41
0.2,10,3,6,4,265,90,12,100,1.0,33
0.2,10,3,9,0,266,99,9,100,1.0,21
0.2,10,3,9,1,267,100,10,100,1.0,20
0.2,10,3,9,2,268,97,10,100,1.0,22
0.2,10,3,9,3,269,100,9,100,1.0,19
0.2,10,3,9,4,270,88,11,100,1.0,29
0.2,10,5,3,0,271,36,10,67,0.67,53
0.2,10,5,3,1,272,44,10,74,0.74,37
0.2,10,5,3,2,273,33,10,67,0.67,53
0.2,10,5,3,3,274,39,10,94,0.94,58
0.2,10,5,3,4,275,46,10,92,0.92,71
0.2,10,5,6,0,276,96,10,100,1.0,23
0.2,10,5,6,1,277,83,10,100,1.0,27
0.2,10,5,6,2,278,91,11,100,1.0,26
0.2,10,5,6,3,279,83,10,100,1.0,26
0.2,10,5,6,4,280,92,11,100,1.0,22
0.2,10,5,9,0,281,99,10,100,1.0,21
0.2,10,5,9,1,282,98,10,100,1.0,21
0.2,10,5,9,2,283,100,8,100,1.0,18
0.2,10,5,9,3,284,100,9,100,1.0,19
0.2,10,5,9,4,285,98,10,100,1.0,22
0.2,10,8,3,0,286,76,10,91,0.91,36
0.2,10,8,3,1,287,56,10,97,0.97,38
0.2,10,8,3,2,288,66,10,96,0.96,32
0.2,10,8,3,3,289,42,10,66,0.66,29
0.2,10,8,3,4,290,49,10,85,0.85,41
0.2,10,8,6,0,291,98,10,100,1.0,21
0.2,10,8,6,1,292,77,10,100,1.0,28
0.2,10,8,6,2,293,98,10,100,1.0,22
0.2,10,8,6,3,294,86,10,100,1.0,27
0.2,10,8,6,4,295,91,10,100,1.0,23
0.2,10,8,9,0,296,100,8,100,1.0,18
0.2,10,8,9,1,297,98,10,100,1.0,32
0.2,10,8,9,2,298,100,10,100,1.0,20
0.2,10,8,9,3,299,100,8,100,1.0,18
0.2,10,8,9,4,300,100,10,100,1.0,20
0.2,15,1,3,0,301,9,13,17,0.17,55
0.2,15,1,3,1,302,15,12,43,0.43,69
0.2,15,1,3,2,303,5,4,5,0.05,19
0.2,15,1,3,3,304,34,40,67,0.67,82
0.2,15,1,3,4,305,38,61,91,0.91,99
0.2,15,1,6,0,306,85,24,100,1.0,42
0.2,15,1,6,1,307,93,17,100,1.0,37
0.2,15,1,6,2,308,84,15,100,1.0,41
0.2,15,1,6,3,309,92,20,100,1.0,35
0.2,15,1,6,4,310,86,16,100,1.0,42
0.2,15,1,9,0,311,100,12,100,1.0,27
0.2,15,1,9,1,312,96,16,100,1.0,33
0.2,15,1,9,2,313,100,14,100,1.0,29
0.2,15,1,9,3,314,100,14,100,1.0,29
0.2,15,1,9,4,315,100,13,100,1.0,28
0.2,15,3,3,0,316,39,23,94,0.94,64
0.2,15,3,3,1,317,52,15,92,0.92,82
0.2,15,3,3,2,318,32,15,52,0.52,63
0.2,15,3,3,3,319,52,25,100,1.0,64
0.2,15,3,3,4,320,50,24,94,0.94,68
0.2,15,3,6,0,321,98,14,100,1.0,32
0.2,15,3,6,1,322,100,15,100,1.0,30
0.2,15,3,6,2,323,100,13,100,1.0,28
0.2,15,3,6,3,324,92,13,100,1.0,36
0.2,15,3,6,4,325,91,16,100,1.0,34
0.2,15,3,9,0,326,100,14,100,1.0,29
0.2,15,3,9,1,327,100,10,100,1.0,25
0.2,15,3,9,2,328,100,13,100,1.0,28
0.2,15,3,9,3,329,100,8,100,1.0,23
0.2,15,3,9,4,330,99,13,100,1.0,32
0.2,15,5,3,0,331,36,15,74,0.74,67
0.2,15,5,3,1,332,57,15,97,0.97,73
0.2,15,5,3,2,333,70,15,100,1.0,49
0.2,15,5,3,3,334,41,14,84,0.84,58
0.2,15,5,3,4,335,43,15,70,0.7,68
0.2,15,5,6,0,336,97,15,100,1.0,33
0.2,15,5,6,1,337,95,15,100,1.0,49
0.2,15,5,6,2,338,94,15,100,1.0,43
0.2,15,5,6,3,339,100,13,100,1.0,28
0.2,15,5,6,4,340,100,11,100,1.0,26
0.2,15,5,9,0,341,100,15,100,1.0,30
0.2,15,5,9,1,342,100,15,100,1.0,30
0.2,15,5,9,2,343,100,9,100,1.0,24
0.2,15,5,9,3,344,99,10,100,1.0,31
0.2,15,5,9,4,345,100,10,100,1.0,25
0.2,15,8,3,0,346,57,15,96,0.96,59
0.2,15,8,3,1,347,60,15,100,1.0,73
0.2,15,8,3,2,348,72,15,92,0.92,66
0.2,15,8,3,3,349,64,15,84,0.84,42
0.2,15,8,3,4,350,65,15,88,0.88,54
0.2,15,8,6,0,351,100,13,100,1.0,28
0.2,15,8,6,1,352,98,14,100,1.0,31
0.2,15,8,6,2,353,100,12,100,1.0,27
0.2,15,8,6,3,354,100,14,100,1.0,29
0.2,15,8,6,4,355,100,15,100,1.0,30
0.2,15,8,9,0,356,100,10,100,1.0,25
0.2,15,8,9,1,357,100,7,100,1.0,22
0.2,15,8,9,2,358,100,6,100,1.0,21
0.2,15,8,9,3,359,100,9,100,1.0,24
0.2,15,8,9,4,360,100,12,100,1.0,27
0.2,20,1,3,0,361,60,46,98,0.98,94
0.2,20,1,3,1,362,62,51,99,0.99,119
0.2,20,1,3,2,363,31,47,89,0.89,118
0.2,20,1,3,3,364,60,29,90,0.9,79
0.2,20,1,3,4,365,62,35,100,1.0,70
0.2,20,1,6,0,366,89,23,96,0.96,45
0.2,20,1,6,1,367,93,24,100,1.0,61
0.2,20,1,6,2,368,76,34,100,1.0,59
0.2,20,1,6,3,369,98,21,100,1.0,42
0.2,20,1,6,4,370,98,21,100,1.0,42
0.2,20,1,9,0,371,100,13,100,1.0,33
0.2,20,1,9,1,372,100,15,100,1.0,35
0.2,20,1,9,2,373,100,12,100,1.0,32
0.2,20,1,9,3,374,99,19,100,1.0,41
0.2,20,1,9,4,375,100,12,100,1.0,32
0.2,20,3,3,0,376,52,30,93,0.93,95
0.2,20,3,3,1,377,45,20,96,0.96,94
0.2,20,3,3,2,378,47,20,100,1.0,100
0.2,20,3,3,3,379,51,26,96,0.96,80
0.2,20,3,3,4,380,43,20,96,0.96,118
0.2,20,3,6,0,381,100,19,100,1.0,39
0.2,20,3,6,1,382,91,21,100,1.0,50
0.2,20,3,6,2,383,100,13,100,1.0,33
0.2,20,3,6,3,384,100,17,100,1.0,37
0.2,20,3,6,4,385,97,19,100,1.0,47
0.2,20,3,9,0,386,100,14,100,1.0,34
0.2,20,3,9,1,387,100,12,100,1.0,32
0.2,20,3,9,2,388,100,10,100,1.0,30
0.2,20,3,9,3,389,100,11,100,1.0,31
0.2,20,3,9,4,390,100,14,100,1.0,34
0.2,20,5,3,0,391,79,24,95,0.95,53
0.2,20,5,3,1,392,57,20,93,0.93,92
0.2,20,5,3,2,393,67,20,98,0.98,109
0.2,20,5,3,3,394,60,19,71,0.71,54
0.2,20,5,3,4,395,64,20,100,1.0,80
0.2,20,5,6,0,396,100,18,100,1.0,38
0.2,20,5,6,1,397,100,16,100,1.0,36
0.2,20,5,6,2,398,92,17,100,1.0,45
0.2,20,5,6,3,399,100,17,100,1.0,37
0.2,20,5,6,4,400,98,19,100,1.0,44
0.2,20,5,9,0,401,100,11,100,1.0,31
